week_no,item_code,holiday_flag,holiday_score,grow_score
202021,1001,2,0,0
202021,1005,2,0,18
202021,1101,2,0,0
202021,1201,2,0,21
202021,1207,2,0,49
202021,1209,2,0,0
202022,501,2,0,21
202022,601,2,0,49
202022,602,2,0,49
202022,1001,2,0,0
202022,1005,2,0,21
202022,1101,2,0,0
202022,1201,2,0,0
202022,1207,2,0,49
202022,1209,2,0,0
202023,501,2,0,28
202023,601,2,0,49
202023,602,2,0,49
202023,1001,2,0,0
202023,1005,2,0,21
202023,1101,2,0,14
202023,1201,2,0,0
202023,1207,2,0,49
202023,1209,2,0,0
202024,501,2,0,12
202024,601,2,0,53
202024,602,2,0,53
202024,1001,2,0,0
202024,1005,2,0,21
202024,1101,2,0,14
202024,1201,2,0,0
202024,1207,2,0,49
202024,1209,2,0,0
202025,501,2,0,0
202025,601,2,0,56
202025,602,2,0,56
202025,1001,2,0,1
202025,1005,2,0,20
202025,1101,2,0,15
