weekno,품종코드,등급코드,직팜산지코드,총거래량(kg),일평균기온,최고기온,최저기온,평균상대습도,강수량(mm),1시간최고강수량(mm),holiday_flag,holiday_score,grow_score,year,week,week_start,평균단가(원)
2018_01,6,13,1107,560.0,-1.9,1.6,-4.3,58.6,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,3400.0
2018_01,6,13,1112,200.0,-2.6,-0.7,-4.3,65.5,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2800.0
2018_01,6,13,1121,10980.0,1.0833333333333333,8.8,-8.2,35.93333333333333,0.0,0.0,6,0.0,0.0,2018,01,2018-01-01,2652.0
2018_01,6,13,1131,100.0,0.9,6.6,-3.9,34.0,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2385.0
2018_01,6,13,1135,900.0,1.4,6.3,-3.1,41.9,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2200.0
2018_01,6,13,1136,460.0,4.6,5.8,3.5,58.6,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,2698.0
2018_01,6,13,1138,4400.0,0.9666666666666668,6.5,-8.3,35.2,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,1285.0
2018_01,6,20,2000,1790.0,,,,,0.0,0.0,6,0.0,0.0,2018,01,2018-01-01,6107.0
2018_01,7,11,1000,12.0,-5.4,-0.5,-10.5,39.6,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,5250.0
2018_01,7,11,1135,18.0,1.8666666666666665,8.6,-3.1,37.43333333333333,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,7000.0
2018_01,7,12,1079,8.0,-1.8,4.0,-7.0,45.8,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2906.0
2018_01,7,13,1000,250.0,-4.275,1.6,-8.7,44.35,0.0,0.0,4,0.0,0.0,2018,01,2018-01-01,2068.0
2018_01,7,13,1048,140.0,-4.933333333333334,-0.4,-10.5,41.63333333333333,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,2117.0
2018_01,7,13,1065,40.0,-2.9000000000000004,2.6,-7.2,60.35,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,2000.0
2018_01,7,13,1071,150.0,-4.7,-0.4,-7.1,42.3,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,2071.0
2018_01,7,13,1079,48.0,1.0,8.4,-2.9,60.13333333333333,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,2921.0
2018_01,7,13,1089,20.0,2.7,5.2,-0.1,70.3,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,1982.0
2018_01,7,13,1102,232.0,-0.8250000000000001,6.7,-4.3,63.975,0.0,0.0,4,0.0,0.0,2018,01,2018-01-01,3125.0
2018_01,7,13,1107,30.0,-1.7,1.6,-4.1,57.9,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,1404.0
2018_01,7,13,1108,1040.0,-1.6,2.6,-5.5,64.3,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2312.0
2018_01,7,13,1112,8.0,0.2,6.1,-4.0,76.5,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2250.0
2018_01,7,13,1120,20.0,1.8,5.6,-1.3,27.0,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2400.0
2018_01,7,13,1157,40.0,1.7,7.0,-1.5,36.6,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2750.0
2018_01,7,20,2000,1746.0,,,,,0.0,0.0,23,0.0,0.0,2018,01,2018-01-01,2488.0
2018_01,8,12,1000,20.0,-4.7,-0.4,-7.1,42.3,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,5515.0
2018_01,8,12,1035,42.0,-4.5,1.4,-12.3,63.4,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2933.0
2018_01,8,13,1030,34.0,-99.0,-0.2,-99.0,-9.0,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,2324.0
2018_01,10,13,1136,272.0,4.6,5.8,3.5,58.6,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,2136.0
2018_01,10,13,1138,54.0,-1.3,5.6,-8.3,32.6,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,1600.0
2018_01,10,13,1170,400.0,5.1,6.5,1.9,70.5,4.2,0.0,1,0.0,0.0,2018,01,2018-01-01,2750.0
2018_01,16,12,1060,1400.0,-4.0600000000000005,2.5,-12.4,55.56,0.0,0.0,5,0.0,0.0,2018,01,2018-01-01,4250.0
2018_01,16,12,1070,30.0,-3.0,1.6,-5.6,48.4,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,3500.0
2018_01,16,12,1094,640.0,0.5,4.2,-1.9,58.43333333333334,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,4575.0
2018_01,16,13,1000,30.0,-4.7,-0.7,-8.7,43.0,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2725.0
2018_01,16,13,1094,160.0,1.1,4.2,-1.9,61.5,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,1500.0
2018_01,16,20,2000,4320.0,,,,,0.0,0.0,11,0.0,0.0,2018,01,2018-01-01,1898.0
2018_01,17,12,1000,24.0,-5.050000000000001,-0.5,-10.5,41.3,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,4562.0
2018_01,17,12,1079,24.0,-1.8,4.0,-7.0,45.8,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2896.0
2018_01,17,12,1116,70.0,3.9,10.6,-0.1,36.5,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2857.0
2018_01,17,12,1162,28.0,-4.9,1.4,-12.4,59.0,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,3504.0
